N°;Pedido;Fecha;Cliente;Segemento;Ventas [unid];Ventas [$]
3622;733981;1/12/2021;24;Segmento 4;3;246,49
3623;621275;10/11/2021;34;Segmento 3;5;50,3
3624;699194;27/3/2021;12;Segmento 3;3;71,42
3625;258029;17/12/2021;17;Segmento 1;9;815,45
3626;112633;1/2/2021;2;Segmento 4;6;574,29
3627;283314;1/4/2021;34;Segmento 6;3;255,03
3628;540671;5/11/2021;31;Segmento 3;6;160,93
3629;803034;27/4/2021;33;Segmento 2;6;397,2
3630;251795;13/12/2021;21;Segmento 2;9;136,23
3631;659237;8/8/2021;28;Segmento 1;3;206,8
3632;240941;29/3/2021;23;Segmento 4;5;12,37
3633;558458;31/7/2021;30;Segmento 4;1;58,32
3634;258318;27/2/2021;11;Segmento 2;7;434,91
3635;294705;23/2/2021;35;Segmento 1;6;160,85
3636;947978;5/9/2021;17;Segmento 6;2;125,89
3637;730499;21/6/2021;16;Segmento 4;1;75,78
3638;796135;24/10/2021;33;Segmento 2;6;552,44
3639;868514;25/5/2021;2;Segmento 1;5;404,31
3640;80894;9/2/2021;7;Segmento 4;9;183,01
3641;688601;17/6/2021;34;Segmento 6;2;81
3642;451311;2/5/2021;19;Segmento 4;5;485,95
3643;695300;18/9/2021;30;Segmento 8;5;149,67
3644;972667;17/5/2021;7;Segmento 3;9;176,05
3645;675747;25/6/2021;28;Segmento 7;6;21,8
3646;7501;11/6/2021;27;Segmento 8;1;53,37
3647;663214;27/1/2021;5;Segmento 8;8;522,74
3648;317978;14/2/2021;1;Segmento 2;7;46,29
3649;931470;5/3/2021;5;Segmento 7;4;382,59
3650;786453;23/11/2021;15;Segmento 1;7;39,81
3651;583854;11/7/2021;35;Segmento 4;2;103,73
3652;902059;1/8/2021;16;Segmento 5;5;27,3
3653;316331;3/1/2021;14;Segmento 6;1;11,99
3654;760231;29/8/2021;32;Segmento 7;6;477,1
3655;349795;24/5/2021;34;Segmento 1;9;847,41
3656;701959;18/1/2021;21;Segmento 3;6;348,45
3657;359005;26/4/2021;23;Segmento 3;6;32,2
3658;599770;17/9/2021;9;Segmento 5;7;379,75
3659;858907;21/11/2021;13;Segmento 2;6;585,13
3660;751156;11/11/2021;7;Segmento 7;9;676,09
3661;367661;5/3/2021;3;Segmento 7;7;510,72
3662;472709;19/11/2021;5;Segmento 6;5;228,32
3663;858361;12/2/2021;30;Segmento 1;5;289,89
3664;573758;12/8/2021;23;Segmento 7;7;46,48
3665;510776;3/11/2021;11;Segmento 2;7;374,57
3666;208311;19/7/2021;24;Segmento 1;1;28,79
3667;314542;27/10/2021;8;Segmento 2;7;617,96
3668;285334;4/9/2021;23;Segmento 6;4;288,83
3669;27514;26/6/2021;28;Segmento 8;6;34,47
3670;407394;24/7/2021;25;Segmento 5;4;200,71
3671;387265;31/12/2021;1;Segmento 6;10;588,37
3672;739206;23/6/2021;16;Segmento 2;3;244,05
3673;545675;17/9/2021;5;Segmento 4;7;88,3
3674;452248;25/12/2021;14;Segmento 6;7;96,44
3675;609487;4/8/2021;34;Segmento 2;6;28,44
3676;865622;11/9/2021;2;Segmento 8;9;859,32
3677;1763;10/2/2021;17;Segmento 6;4;129,84
3678;813858;20/11/2021;32;Segmento 3;0;0
3679;421492;11/9/2021;6;Segmento 8;6;25,4
3680;352997;26/3/2021;16;Segmento 3;5;392,96
3681;119903;7/5/2021;11;Segmento 2;6;574,94
3682;563;27/4/2021;11;Segmento 8;4;257,22
3683;50987;16/1/2021;21;Segmento 6;9;700,61
3684;86254;19/8/2021;22;Segmento 4;1;54,44
3685;141903;5/9/2021;8;Segmento 6;1;85,54
3686;136129;22/7/2021;12;Segmento 6;1;51,33
3687;716212;24/1/2021;20;Segmento 8;7;202,83
3688;700324;31/12/2021;16;Segmento 3;4;330,35
3689;487174;18/5/2021;32;Segmento 8;6;118,95
3690;3441;18/1/2021;30;Segmento 4;5;31,07
3691;752871;1/6/2021;20;Segmento 8;5;211,05
3692;827697;23/9/2021;13;Segmento 4;4;294
3693;291835;17/3/2021;32;Segmento 1;3;74,18
3694;97940;14/3/2021;27;Segmento 4;6;284,93
3695;386703;10/1/2021;4;Segmento 2;7;516,53
3696;29118;6/8/2021;1;Segmento 7;1;97,83
3697;130784;8/12/2021;24;Segmento 8;5;42,61
3698;265981;2/4/2021;17;Segmento 5;4;52,04
3699;537196;10/7/2021;8;Segmento 4;8;60,9
3700;823296;19/5/2021;28;Segmento 5;3;211,13
3701;15513;7/11/2021;25;Segmento 5;3;282,54
3702;279;8/9/2021;6;Segmento 8;2;42,53
3703;797186;10/10/2021;29;Segmento 5;2;190,48
3704;420189;4/1/2021;8;Segmento 4;6;578,26
3705;970062;2/2/2021;3;Segmento 3;5;435,59
3706;955782;1/5/2021;16;Segmento 3;9;578,15
3707;131868;8/5/2021;12;Segmento 3;8;425,25
3708;5890;26/5/2021;24;Segmento 4;8;453,5
3709;845329;19/3/2021;7;Segmento 2;0;0
3710;211350;10/8/2021;34;Segmento 1;1;68,08
3711;280798;10/8/2021;4;Segmento 3;7;83,68
3712;39312;24/6/2021;32;Segmento 5;8;176,89
3713;879534;24/4/2021;18;Segmento 4;4;43,74
3714;939283;24/4/2021;34;Segmento 7;1;43,09
3715;741037;3/9/2021;9;Segmento 1;6;186,77
3716;512692;5/1/2021;16;Segmento 7;8;695,04
3717;866347;6/7/2021;28;Segmento 1;8;280,32
3718;47939;7/4/2021;7;Segmento 2;1;87,25
3719;719921;18/7/2021;35;Segmento 8;8;485,57
3720;795044;7/7/2021;27;Segmento 4;4;358,04
3721;325435;3/7/2021;17;Segmento 5;10;626,33
3722;792263;26/6/2021;35;Segmento 5;7;579,99
3723;173155;7/5/2021;19;Segmento 8;1;70,71
3724;364422;24/2/2021;26;Segmento 6;8;9,11
3725;528279;25/12/2021;32;Segmento 1;2;60,71
3726;830475;15/11/2021;27;Segmento 3;7;284,83
3727;364030;12/2/2021;20;Segmento 2;2;28,06
3728;867594;4/9/2021;29;Segmento 8;9;20,67
3729;816726;12/4/2021;20;Segmento 2;5;189,3
3730;84546;19/6/2021;10;Segmento 1;10;143,25
3731;273371;12/12/2021;31;Segmento 2;3;44,32
3732;10707;8/8/2021;31;Segmento 4;7;345,18
3733;204639;1/9/2021;33;Segmento 5;8;332,02
3734;874925;21/10/2021;15;Segmento 7;3;265,86
3735;664143;17/12/2021;28;Segmento 2;2;29,37
3736;127400;7/4/2021;28;Segmento 5;4;364,46
3737;994486;14/9/2021;2;Segmento 3;1;27,82
3738;963496;11/10/2021;34;Segmento 1;8;420,46
3739;955258;29/3/2021;21;Segmento 6;5;155,86
3740;285716;2/7/2021;31;Segmento 6;4;253,95
3741;800780;8/8/2021;8;Segmento 4;0;0
3742;149719;30/11/2021;33;Segmento 5;3;193
3743;274308;13/6/2021;26;Segmento 1;3;98,97
3744;171448;21/7/2021;32;Segmento 6;2;23,23
3745;722959;11/4/2021;9;Segmento 4;2;16,25
3746;732312;6/4/2021;29;Segmento 8;7;641,35
3747;757504;10/6/2021;6;Segmento 3;1;93,34
3748;304190;28/3/2021;34;Segmento 5;5;343,15
3749;781531;21/1/2021;15;Segmento 4;9;213,49
3750;810815;17/12/2021;18;Segmento 3;4;305,71
3751;809607;7/6/2021;4;Segmento 8;6;551,85
3752;820476;17/8/2021;35;Segmento 8;5;233,7
3753;684148;20/12/2021;27;Segmento 4;9;518,28
3754;153984;29/1/2021;3;Segmento 7;8;523,92
3755;398375;6/4/2021;2;Segmento 1;5;480,32
3756;222534;29/9/2021;18;Segmento 3;8;316,69
3757;671081;27/12/2021;20;Segmento 8;6;463,88
3758;466445;18/8/2021;21;Segmento 3;8;423,24
3759;483467;2/7/2021;30;Segmento 4;5;428,51
3760;973747;30/1/2021;2;Segmento 5;2;50,01
3761;942651;7/7/2021;26;Segmento 5;9;220,03
3762;517490;19/11/2021;18;Segmento 6;3;216,33
3763;890199;8/4/2021;19;Segmento 6;3;103,11
3764;881824;8/2/2021;31;Segmento 8;4;120,08
3765;846684;4/9/2021;10;Segmento 4;8;201,77
3766;240967;21/7/2021;34;Segmento 8;5;290,65
3767;621058;11/12/2021;24;Segmento 3;10;699,13
3768;428538;1/10/2021;28;Segmento 6;4;142,58
3769;341093;22/8/2021;1;Segmento 8;8;63,47
3770;265603;4/7/2021;2;Segmento 3;5;401,47
3771;260397;27/3/2021;29;Segmento 5;3;56,96
3772;297037;11/5/2021;21;Segmento 2;8;79,71
3773;173713;13/10/2021;3;Segmento 4;9;772,97
3774;605661;17/10/2021;12;Segmento 5;7;436,9
3775;478545;11/2/2021;22;Segmento 6;4;297,77
3776;666090;24/4/2021;5;Segmento 3;6;138,5
3777;42090;5/9/2021;19;Segmento 4;1;51,22
3778;402665;2/7/2021;9;Segmento 3;0;0
3779;696714;16/7/2021;9;Segmento 7;6;175,05
3780;955620;15/7/2021;9;Segmento 2;7;165,01
3781;424357;1/2/2021;16;Segmento 2;6;167,32
3782;574996;30/10/2021;17;Segmento 2;2;98,45
3783;276564;8/5/2021;25;Segmento 5;0;0
3784;964192;14/11/2021;6;Segmento 2;2;99,7
3785;403471;14/11/2021;17;Segmento 6;2;98,05
3786;338582;24/5/2021;12;Segmento 4;3;103,35
3787;985645;15/6/2021;16;Segmento 1;5;89,53
3788;454406;9/6/2021;22;Segmento 2;4;136,58
3789;31742;11/2/2021;25;Segmento 3;2;190,35
3790;91903;20/9/2021;22;Segmento 4;1;77,15
3791;548611;5/3/2021;7;Segmento 2;7;163,96
3792;275077;9/5/2021;21;Segmento 5;2;174,45
3793;893713;2/7/2021;22;Segmento 8;4;307,02
3794;978;24/8/2021;2;Segmento 1;7;524,38
3795;832559;21/11/2021;32;Segmento 6;2;99,28
3796;733608;17/10/2021;25;Segmento 7;9;445,8
3797;414109;31/8/2021;17;Segmento 2;7;234,49
3798;640489;28/12/2021;28;Segmento 4;9;92,37
3799;653010;19/1/2021;4;Segmento 1;2;2,5
3800;83050;20/5/2021;28;Segmento 5;6;235,99
3801;680169;27/4/2021;16;Segmento 3;2;155,87
3802;305324;3/6/2021;30;Segmento 7;4;280,48
3803;464432;6/7/2021;16;Segmento 2;5;495,43
3804;419018;28/5/2021;25;Segmento 5;5;26,72
3805;873343;20/10/2021;24;Segmento 3;1;44,66
3806;902711;11/2/2021;32;Segmento 2;8;39,85
3807;189922;17/8/2021;35;Segmento 8;9;219,18
3808;756446;29/9/2021;14;Segmento 1;9;281,39
3809;367382;24/4/2021;26;Segmento 3;8;347,64
3810;893901;14/5/2021;8;Segmento 8;3;5,36
3811;281657;8/10/2021;27;Segmento 7;3;107,51
3812;267366;20/3/2021;31;Segmento 2;9;353,87
3813;526509;24/3/2021;8;Segmento 1;8;202,8
3814;495069;6/4/2021;24;Segmento 5;10;94,18
3815;279641;28/10/2021;31;Segmento 2;10;79,94
3816;643770;24/8/2021;10;Segmento 8;8;316,92
3817;796759;2/3/2021;31;Segmento 5;6;314,15
3818;57886;17/10/2021;28;Segmento 3;3;109,03
3819;962186;1/1/2021;16;Segmento 7;5;304,19
3820;203488;15/4/2021;15;Segmento 6;7;211,32
3821;990636;6/2/2021;26;Segmento 1;6;307
3822;422834;24/12/2021;31;Segmento 3;4;87,06
3823;814355;23/8/2021;12;Segmento 1;6;522,25
3824;607267;7/8/2021;25;Segmento 2;0;0
3825;65572;23/7/2021;24;Segmento 4;7;559,36
3826;984718;2/11/2021;24;Segmento 2;2;158,81
3827;514309;1/10/2021;7;Segmento 2;3;150,95
3828;731806;20/2/2021;27;Segmento 4;1;29,6
3829;625900;29/7/2021;1;Segmento 8;5;366,37
3830;994100;8/11/2021;30;Segmento 1;3;145,75
3831;951017;9/9/2021;35;Segmento 4;6;115,73
3832;540173;10/12/2021;14;Segmento 5;3;54,25
3833;767493;15/2/2021;10;Segmento 5;0;0
3834;811106;19/9/2021;35;Segmento 3;4;317,58
3835;262052;8/7/2021;20;Segmento 8;6;381,52
3836;589158;5/8/2021;26;Segmento 4;9;896,93
3837;945074;13/2/2021;12;Segmento 3;8;654,23
3838;196704;20/2/2021;34;Segmento 7;1;82,32
3839;113340;10/4/2021;29;Segmento 1;7;673,35
3840;777029;18/6/2021;3;Segmento 2;1;76,73
3841;894776;27/5/2021;26;Segmento 4;1;0,73
3842;631189;19/6/2021;31;Segmento 5;0;0
3843;802602;1/7/2021;7;Segmento 5;4;169,53
3844;876510;2/5/2021;27;Segmento 2;4;142,3
3845;833460;22/9/2021;27;Segmento 3;4;343,87
3846;603923;7/10/2021;24;Segmento 7;1;91,6
3847;406788;3/4/2021;31;Segmento 3;4;344,9
3848;460952;22/5/2021;4;Segmento 2;1;4,83
3849;759672;23/4/2021;27;Segmento 3;2;199,25
3850;252017;8/10/2021;17;Segmento 2;8;283,64
3851;929030;15/8/2021;8;Segmento 5;5;52,63
3852;699120;9/1/2021;6;Segmento 6;4;50,28
3853;293390;21/2/2021;10;Segmento 7;1;97,23
3854;742583;9/5/2021;12;Segmento 5;7;422,62
3855;210115;8/11/2021;13;Segmento 4;4;274,93
3856;495944;3/11/2021;24;Segmento 4;0;0
3857;993108;14/3/2021;21;Segmento 3;9;142,54
3858;58909;27/7/2021;10;Segmento 2;1;43,64
3859;494070;14/3/2021;3;Segmento 7;4;265,01
3860;522419;26/11/2021;3;Segmento 4;0;0
3861;186054;14/8/2021;1;Segmento 1;7;8,14
3862;602700;30/9/2021;5;Segmento 4;9;732,86
3863;887725;7/9/2021;12;Segmento 7;6;209,37
3864;958790;15/6/2021;10;Segmento 7;8;471,06
3865;525106;18/10/2021;8;Segmento 3;8;59,52
3866;108357;21/3/2021;2;Segmento 1;5;454,46
3867;52128;7/4/2021;8;Segmento 1;2;1,06
3868;656865;21/7/2021;1;Segmento 7;3;195,02
3869;100732;23/12/2021;27;Segmento 7;4;147,08
3870;805541;22/12/2021;32;Segmento 3;10;143,71
3871;780732;22/4/2021;19;Segmento 6;2;80,84
3872;547138;25/7/2021;18;Segmento 8;3;76,46
3873;49201;7/3/2021;32;Segmento 5;9;216,66
3874;852662;7/4/2021;33;Segmento 3;1;12,79
3875;585657;1/8/2021;13;Segmento 7;0;0
3876;62985;8/6/2021;4;Segmento 3;8;46,48
3877;61095;4/3/2021;22;Segmento 3;9;11,83
3878;478178;9/5/2021;13;Segmento 4;4;292,28
3879;461444;13/8/2021;28;Segmento 8;2;156,56
3880;707626;9/6/2021;15;Segmento 7;7;186,69
3881;371164;16/11/2021;6;Segmento 5;1;92,54
3882;539061;6/2/2021;34;Segmento 2;3;61,1
3883;839385;8/8/2021;7;Segmento 4;1;43,78
3884;72283;10/6/2021;35;Segmento 7;4;29,13
3885;737777;7/3/2021;14;Segmento 8;2;10,34
3886;299535;7/1/2021;28;Segmento 1;5;219,54
3887;988272;19/12/2021;13;Segmento 6;9;61,22
3888;793695;1/10/2021;18;Segmento 2;1;59,57
3889;917212;29/12/2021;34;Segmento 5;4;0,94
3890;122386;2/1/2021;33;Segmento 2;7;360
3891;420950;9/9/2021;12;Segmento 6;4;376,73
3892;840824;28/2/2021;30;Segmento 8;8;655,07
3893;830118;17/11/2021;27;Segmento 2;4;76,76
3894;230114;17/7/2021;14;Segmento 4;7;132,63
3895;539381;12/3/2021;1;Segmento 1;9;824,39
3896;62025;30/11/2021;16;Segmento 3;5;250,33
3897;811149;26/7/2021;15;Segmento 4;0;0
3898;884163;15/5/2021;25;Segmento 5;1;41,62
3899;210661;2/8/2021;27;Segmento 5;0;0
3900;591344;28/2/2021;11;Segmento 2;2;44,19
3901;950618;29/12/2021;25;Segmento 4;6;107,08
3902;109844;29/5/2021;11;Segmento 6;6;444,65
3903;642659;31/8/2021;33;Segmento 7;3;12,06
3904;458567;16/10/2021;15;Segmento 7;5;40,21
3905;262816;19/11/2021;35;Segmento 8;8;87,98
3906;474506;9/6/2021;17;Segmento 1;9;252,06
3907;398817;5/2/2021;31;Segmento 1;6;55,53
3908;345245;9/1/2021;30;Segmento 3;2;99,16
3909;398331;15/3/2021;30;Segmento 2;7;386,92
3910;297875;12/3/2021;19;Segmento 7;7;517,68
3911;148722;26/2/2021;11;Segmento 8;1;60,07
3912;660615;5/8/2021;26;Segmento 5;3;166,52
3913;100832;30/6/2021;32;Segmento 3;7;233,16
3914;903947;8/10/2021;25;Segmento 1;0;0
3915;680365;27/12/2021;21;Segmento 2;6;10,4
3916;230302;5/2/2021;32;Segmento 3;9;671,41
3917;315006;4/4/2021;31;Segmento 7;7;268,07
3918;434098;5/8/2021;8;Segmento 7;7;429,62
3919;246897;22/3/2021;28;Segmento 3;4;20,13
3920;107787;10/2/2021;3;Segmento 5;8;200,93
3921;418671;30/6/2021;9;Segmento 6;2;123,94
3922;81786;18/3/2021;12;Segmento 8;5;432,65
3923;843053;25/1/2021;20;Segmento 3;3;235,4
3924;276643;11/4/2021;32;Segmento 4;3;226,96
3925;233106;1/2/2021;3;Segmento 8;7;256,44
3926;558488;29/4/2021;14;Segmento 7;10;228,8
3927;392091;16/6/2021;35;Segmento 1;10;329,84
3928;535280;11/6/2021;5;Segmento 1;8;428,46
3929;752677;12/7/2021;31;Segmento 6;3;283,16
3930;584551;19/4/2021;30;Segmento 3;10;432,02
3931;843;29/1/2021;13;Segmento 8;8;543,35
3932;577888;20/5/2021;31;Segmento 7;8;451,4
3933;250557;28/3/2021;23;Segmento 7;7;524,52
3934;448443;1/9/2021;2;Segmento 6;6;196,5
3935;139251;18/5/2021;10;Segmento 3;10;830,33
3936;795221;27/11/2021;21;Segmento 3;3;34,79
3937;273121;16/2/2021;4;Segmento 2;1;93,79
3938;707833;18/5/2021;31;Segmento 8;6;207,53
3939;599180;9/5/2021;32;Segmento 2;5;405,75
3940;391640;27/9/2021;30;Segmento 1;2;185,04
3941;643036;17/7/2021;20;Segmento 7;8;465,9
3942;377068;3/5/2021;6;Segmento 5;2;117,2
3943;878684;20/2/2021;6;Segmento 4;2;181,6
3944;396710;28/8/2021;6;Segmento 1;1;35,25
3945;331045;22/8/2021;23;Segmento 3;1;56,82
3946;248491;12/4/2021;25;Segmento 8;5;344,71
3947;207016;19/10/2021;33;Segmento 7;6;293,54
3948;313405;12/12/2021;16;Segmento 8;0;0
3949;999580;15/11/2021;21;Segmento 5;9;850,78
3950;443231;20/7/2021;30;Segmento 6;7;38,8
3951;801548;6/8/2021;24;Segmento 3;6;532,32
3952;452079;1/11/2021;25;Segmento 6;7;455,61
3953;556401;11/1/2021;32;Segmento 5;9;99
3954;790314;7/3/2021;4;Segmento 8;2;102,88
3955;15040;10/7/2021;24;Segmento 8;6;465,93
3956;122537;16/6/2021;10;Segmento 1;8;298,88
3957;765624;18/8/2021;5;Segmento 2;6;341,35
3958;954340;28/8/2021;24;Segmento 1;7;234,89
3959;901693;14/12/2021;34;Segmento 4;3;140,33
3960;307290;15/11/2021;13;Segmento 3;10;385,3
3961;556048;25/8/2021;1;Segmento 2;0;0
3962;771763;11/10/2021;33;Segmento 3;9;849,39
3963;432233;22/7/2021;29;Segmento 1;6;17,35
3964;21677;26/2/2021;23;Segmento 8;6;181,28
3965;175568;27/2/2021;1;Segmento 1;9;781,21
3966;887944;11/4/2021;13;Segmento 4;9;255,36
3967;667030;17/8/2021;23;Segmento 7;1;96,18
3968;344113;18/7/2021;8;Segmento 2;0;0
3969;837127;20/1/2021;3;Segmento 6;6;205,25
3970;224785;26/12/2021;22;Segmento 7;9;360,42
3971;37920;23/1/2021;13;Segmento 5;10;985,62
3972;249261;28/2/2021;30;Segmento 5;8;29,46
3973;811371;6/3/2021;14;Segmento 8;3;203,77
3974;607634;24/4/2021;34;Segmento 7;8;727,24
3975;654282;25/7/2021;20;Segmento 6;4;113,97
3976;352141;26/9/2021;10;Segmento 5;4;252,58
3977;523753;13/4/2021;24;Segmento 4;1;95,95
3978;297013;8/4/2021;14;Segmento 4;9;530,5
3979;508266;19/9/2021;29;Segmento 8;8;443,51
3980;306618;25/10/2021;2;Segmento 7;7;663,33
3981;264371;4/6/2021;3;Segmento 7;5;272,83
3982;142955;25/12/2021;16;Segmento 2;1;79,17
3983;357632;8/3/2021;10;Segmento 8;4;28,26
3984;406615;6/9/2021;9;Segmento 8;7;576,35
3985;767988;30/4/2021;3;Segmento 5;7;581,49
3986;238521;17/3/2021;14;Segmento 6;2;82,03
3987;911130;14/9/2021;35;Segmento 4;6;430,02
3988;528745;17/7/2021;7;Segmento 7;9;11,92
3989;46572;26/10/2021;25;Segmento 4;4;82,29
3990;107629;28/1/2021;25;Segmento 4;7;495,27
3991;624332;2/6/2021;10;Segmento 6;4;25,95
3992;388571;17/4/2021;28;Segmento 2;7;35,15
3993;386046;7/9/2021;17;Segmento 3;9;611,46
3994;535102;27/10/2021;4;Segmento 3;5;369,96
3995;572735;17/2/2021;26;Segmento 8;4;28,33
3996;424576;25/6/2021;15;Segmento 5;9;481,39
3997;438953;23/2/2021;6;Segmento 5;3;145,67
3998;265433;7/9/2021;33;Segmento 4;5;137,38
3999;279183;12/8/2021;33;Segmento 5;2;104
4000;806304;6/1/2021;21;Segmento 4;3;75,67
4001;596618;17/12/2021;28;Segmento 3;5;452,16
4002;200940;30/6/2021;14;Segmento 3;2;43,23
4003;297949;14/7/2021;12;Segmento 7;3;126,09
4004;451645;15/8/2021;5;Segmento 4;9;851,69
4005;371588;4/8/2021;16;Segmento 8;9;79,66
4006;629399;7/4/2021;6;Segmento 2;4;361,11
4007;4617;31/7/2021;6;Segmento 1;1;13,61
4008;821014;15/11/2021;29;Segmento 6;5;405,27
4009;313956;1/2/2021;9;Segmento 8;6;462,86
4010;556909;12/8/2021;18;Segmento 6;1;81,9
4011;643001;3/12/2021;20;Segmento 4;4;262,44
4012;514870;30/7/2021;17;Segmento 8;1;92,9
4013;851579;17/8/2021;6;Segmento 4;4;383,53
4014;437175;15/4/2021;16;Segmento 7;10;71,34
4015;781128;6/10/2021;6;Segmento 3;4;322,42
4016;681039;16/7/2021;20;Segmento 1;7;425,44
4017;875427;2/7/2021;12;Segmento 5;8;709,75
4018;487425;7/4/2021;28;Segmento 5;9;29,45
4019;708900;22/5/2021;20;Segmento 4;4;187,43
4020;640162;16/2/2021;12;Segmento 3;7;550,02
4021;440487;15/2/2021;1;Segmento 1;5;368,98
4022;293486;15/2/2021;35;Segmento 1;7;335,95
4023;141704;3/1/2021;16;Segmento 8;10;416,74
4024;830194;16/5/2021;32;Segmento 4;1;84,14
4025;42917;25/4/2021;24;Segmento 2;1;57
4026;50235;11/7/2021;6;Segmento 8;2;27,57
4027;699900;20/1/2021;18;Segmento 8;4;287,48
4028;778722;7/6/2021;7;Segmento 7;3;143,16
4029;500158;29/5/2021;33;Segmento 5;6;176,71
4030;762364;9/11/2021;24;Segmento 7;7;109,63
4031;261447;6/4/2021;18;Segmento 4;7;545,77
4032;812889;20/7/2021;1;Segmento 2;4;296,08
4033;329014;3/2/2021;16;Segmento 5;2;18,84
4034;638169;22/9/2021;26;Segmento 2;2;162,74
4035;787658;26/12/2021;14;Segmento 7;10;820,41
4036;97911;21/2/2021;16;Segmento 8;6;461,97
4037;844804;20/6/2021;25;Segmento 3;7;106,58
4038;984548;23/12/2021;32;Segmento 7;7;576,71
4039;754324;6/12/2021;26;Segmento 4;4;369,16
4040;354415;13/5/2021;23;Segmento 2;1;50,9
4041;203532;27/3/2021;31;Segmento 5;2;16,11
4042;396561;4/3/2021;16;Segmento 8;2;154,2
4043;792513;8/11/2021;8;Segmento 5;2;153,49
4044;55760;5/1/2021;19;Segmento 4;3;290,84
4045;107524;30/1/2021;27;Segmento 5;3;181,71
4046;54713;28/7/2021;18;Segmento 6;4;160,14
4047;265073;10/5/2021;5;Segmento 2;9;4,17
4048;776323;16/11/2021;19;Segmento 1;0;0
4049;696026;6/5/2021;18;Segmento 4;5;348,85
4050;881316;7/6/2021;31;Segmento 2;4;160,86
4051;277375;14/3/2021;11;Segmento 5;5;94,4
4052;158464;16/9/2021;11;Segmento 3;7;69,56
4053;821281;4/10/2021;11;Segmento 3;10;919,8
4054;27401;7/8/2021;3;Segmento 6;1;46,61
4055;752249;22/4/2021;27;Segmento 7;6;139,31
4056;478474;11/4/2021;26;Segmento 6;7;426,63
4057;128197;3/7/2021;23;Segmento 6;5;317,13
4058;147208;12/7/2021;25;Segmento 7;5;458,3
4059;988353;23/1/2021;19;Segmento 7;4;387,32
4060;345344;6/10/2021;35;Segmento 6;8;104,22
4061;141562;20/6/2021;23;Segmento 2;9;142,74
4062;359422;16/11/2021;22;Segmento 2;9;543,51
4063;496985;10/11/2021;10;Segmento 4;4;302,13
4064;217794;14/12/2021;15;Segmento 6;6;133,47
4065;774273;13/6/2021;27;Segmento 5;3;299,41
4066;515366;1/2/2021;24;Segmento 1;3;4,79
4067;996733;12/10/2021;21;Segmento 7;6;322,22
4068;179683;21/4/2021;9;Segmento 5;1;56,37
4069;194619;5/10/2021;25;Segmento 2;9;671,04
4070;979954;30/12/2021;24;Segmento 3;2;199,24
4071;50362;8/8/2021;26;Segmento 2;8;458,63
4072;819960;21/11/2021;16;Segmento 2;1;52,14
4073;161321;29/7/2021;22;Segmento 2;5;47,55
4074;849257;20/4/2021;17;Segmento 1;9;669,05
4075;976390;7/11/2021;25;Segmento 1;9;109,44
4076;375324;6/3/2021;8;Segmento 6;2;175,32
4077;914195;8/5/2021;29;Segmento 5;3;243,36
4078;417363;15/9/2021;28;Segmento 4;10;60,12
4079;58035;23/5/2021;11;Segmento 1;4;229,81
4080;371029;6/4/2021;15;Segmento 6;4;224,62
4081;669906;27/1/2021;10;Segmento 5;2;170,1
4082;240864;23/11/2021;16;Segmento 7;1;46,36
4083;217798;24/10/2021;8;Segmento 8;1;81,67
4084;106559;16/2/2021;3;Segmento 8;7;547,99
4085;301258;23/4/2021;26;Segmento 8;1;53,93
4086;533509;10/11/2021;27;Segmento 2;8;488,75
4087;550246;2/2/2021;8;Segmento 7;3;196,43
4088;254995;17/8/2021;26;Segmento 1;2;17,29
4089;854989;9/7/2021;22;Segmento 2;1;13,86
4090;945715;23/2/2021;19;Segmento 8;10;672,93
4091;73154;3/9/2021;20;Segmento 4;9;239,88
4092;413682;8/12/2021;7;Segmento 7;9;461,72
4093;894987;2/1/2021;18;Segmento 7;0;0
4094;866233;25/7/2021;35;Segmento 4;0;0
4095;24241;16/4/2021;12;Segmento 6;8;191,37
4096;212242;13/8/2021;29;Segmento 6;6;438,46
4097;692048;18/5/2021;32;Segmento 4;2;106,12
4098;671059;1/1/2021;2;Segmento 4;2;87,08
4099;924220;27/10/2021;7;Segmento 6;1;80,12
4100;495579;27/6/2021;14;Segmento 2;9;322,3
4101;850947;11/6/2021;30;Segmento 8;8;441,46
4102;751167;17/1/2021;17;Segmento 5;4;206,53
4103;355104;19/6/2021;6;Segmento 8;3;103,45
4104;652164;5/9/2021;12;Segmento 6;10;136,82
4105;127933;12/8/2021;1;Segmento 4;3;71,28
4106;488947;31/10/2021;16;Segmento 1;6;10,41
4107;922846;5/5/2021;27;Segmento 2;1;93,97
4108;2599;19/1/2021;34;Segmento 7;1;42,01
4109;982713;3/2/2021;35;Segmento 8;8;85,39
4110;241779;5/2/2021;1;Segmento 6;6;183,23
4111;820307;28/9/2021;19;Segmento 6;1;34,43
4112;638115;20/7/2021;22;Segmento 7;3;38,13
4113;325011;16/6/2021;9;Segmento 7;1;75,8
4114;251924;28/6/2021;18;Segmento 4;2;74,38
4115;802905;17/9/2021;15;Segmento 7;8;684,83
4116;867294;6/2/2021;19;Segmento 1;9;739,27
4117;11461;1/9/2021;13;Segmento 1;4;362,36
4118;462113;25/6/2021;35;Segmento 7;2;131,61
4119;26959;19/8/2021;15;Segmento 7;7;337,8
4120;821174;6/6/2021;9;Segmento 5;4;271,85
4121;556291;3/6/2021;10;Segmento 3;3;155,03
